file_path,folder_label,cluster
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0000_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0001_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0002_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0003_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0004_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0005_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0006_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0007_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0008_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0009_diff.png,all,5
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0010_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0011_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0012_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0013_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0014_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0015_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0016_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0017_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0018_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0019_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0020_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0021_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0022_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0023_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0024_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0025_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0026_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0027_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0028_diff.png,all,3
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0029_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0030_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0031_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0032_diff.png,all,7
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0033_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0034_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0035_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0036_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0037_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0038_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0039_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0040_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0041_diff.png,all,7
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0042_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0043_diff.png,all,2
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0044_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0045_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0046_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0047_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0048_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0049_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0050_diff.png,all,7
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0051_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0052_diff.png,all,4
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0053_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0054_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0055_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0056_diff.png,all,7
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0057_diff.png,all,0
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0058_diff.png,all,0
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0059_diff.png,all,0
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0060_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0061_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0062_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0063_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0064_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0065_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0066_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0067_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0068_diff.png,all,0
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0069_diff.png,all,0
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0070_diff.png,all,1
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0071_diff.png,all,1
