file_path,sim_id,maxwellianity_score
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0000_diff.png,sim_0000,0.6611604096
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0001_diff.png,sim_0001,0.6817943203
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0002_diff.png,sim_0002,0.6652990418
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0003_diff.png,sim_0003,0.6819892292
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0004_diff.png,sim_0004,0.6915558102
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0005_diff.png,sim_0005,0.6823122922
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0006_diff.png,sim_0006,0.6550448017
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0007_diff.png,sim_0007,0.6325584135
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0008_diff.png,sim_0008,0.5958794577
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0009_diff.png,sim_0009,0.6386937611
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0010_diff.png,sim_0010,0.7120122619
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0011_diff.png,sim_0011,0.6831504448
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0012_diff.png,sim_0012,0.7009637103
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0013_diff.png,sim_0013,0.7033947759
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0014_diff.png,sim_0014,0.7109493495
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0015_diff.png,sim_0015,0.7303524948
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0016_diff.png,sim_0016,0.7506061189
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0017_diff.png,sim_0017,0.7418779643
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0018_diff.png,sim_0018,0.7424125568
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0019_diff.png,sim_0019,0.7526056823
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0020_diff.png,sim_0020,0.7355188883
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0021_diff.png,sim_0021,0.7256605007
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0022_diff.png,sim_0022,0.7239484807
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0023_diff.png,sim_0023,0.6965211935
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0024_diff.png,sim_0024,0.6813867059
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0025_diff.png,sim_0025,0.7101054310
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0026_diff.png,sim_0026,0.7084791688
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0027_diff.png,sim_0027,0.7314158796
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0028_diff.png,sim_0028,0.7324031876
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0029_diff.png,sim_0029,0.6765402404
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0030_diff.png,sim_0030,0.7495288672
D:/GENE_simulation_AI/DCEC/all_rgb\all\sim_0031_diff.png,sim_0031,0.7263684970
